"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 04 16:56:33 MSK 2019","Wed Dec 04 16:56:47 MSK 2019","13261","","com.example.android.architecture.blueprints.todoapp.Tests","","com.example.android.architecture.blueprints.todoapp.Tests","DeleteTest","DeleteTest",""
"passed","Wed Dec 04 16:56:47 MSK 2019","Wed Dec 04 16:56:56 MSK 2019","9242","","com.example.android.architecture.blueprints.todoapp.Tests","","com.example.android.architecture.blueprints.todoapp.Tests","addNewTaskTest","addNewTaskTest",""
